N,P,X,History
23,0.1,3,56512
23,0.1,4,37632
23,0.1,5,31864
24,0.1,1,42896
24,0.1,2,30952
24,0.1,3,52688
24,0.1,4,57248
24,0.1,5,40072
25,0.1,1,29816
25,0.1,2,45280
25,0.1,3,35328
25,0.1,4,37456
25,0.1,5,34576
26,0.1,1,45248
26,0.1,2,51056
26,0.1,3,41384
26,0.1,4,50472
26,0.1,5,33520
27,0.1,1,39904
27,0.1,2,48024
27,0.1,3,43832
27,0.1,4,33696
27,0.1,5,52328
28,0.1,1,68192
28,0.1,2,75952
28,0.1,3,69600
28,0.1,4,34808
28,0.1,5,36696
29,0.1,1,49088
29,0.1,2,37656
29,0.1,3,57944
29,0.1,4,58744
29,0.1,5,62656
30,0.1,1,42880
30,0.1,2,56744
30,0.1,3,63728
30,0.1,4,41336
30,0.1,5,45256
31,0.1,1,48608
31,0.1,2,64264
31,0.1,3,82448
31,0.1,4,60264
31,0.1,5,40464
32,0.1,1,34832
32,0.1,2,57824
32,0.1,3,36896
32,0.1,4,41688
32,0.1,5,50992
33,0.1,1,72024
33,0.1,2,69552
33,0.1,3,58152
33,0.1,4,65504
33,0.1,5,99856
34,0.1,1,57792
34,0.1,2,59912
34,0.1,3,60056
34,0.1,4,75608
34,0.1,5,58616
35,0.1,1,61312
35,0.1,2,72056
35,0.1,3,59328
35,0.1,4,39272
35,0.1,5,76160
36,0.1,1,71232
36,0.1,2,78832
36,0.1,3,75888
36,0.1,4,70272
36,0.1,5,56632
37,0.1,1,65920
37,0.1,2,62792
37,0.1,3,71672
37,0.1,4,51264
37,0.1,5,62880
38,0.1,1,65000
38,0.1,2,79104
38,0.1,3,86568
38,0.1,4,65400
38,0.1,5,79760
39,0.1,1,83864
39,0.1,2,121896
39,0.1,3,101376
39,0.1,4,61864
39,0.1,5,100568
40,0.1,1,85312
40,0.1,2,79688
40,0.1,3,87056
40,0.1,4,90368
40,0.1,5,87168
41,0.1,1,71568
41,0.1,2,81160
41,0.1,3,90192
41,0.1,4,79136
41,0.1,5,101616
42,0.1,1,92176
42,0.1,2,81816
42,0.1,3,68528
42,0.1,4,75648
42,0.1,5,91672
43,0.1,1,86392
43,0.1,2,73104
43,0.1,3,77256
43,0.1,4,56552
43,0.1,5,74904
44,0.1,1,81488
44,0.1,2,86128
44,0.1,3,109904
44,0.1,4,104704
44,0.1,5,91032
45,0.1,1,61552
45,0.1,2,47776
45,0.1,3,79472
45,0.1,4,59872
45,0.1,5,50488
46,0.1,1,67120
46,0.1,2,90376
46,0.1,3,93128
46,0.1,4,111016
46,0.1,5,121432
47,0.1,1,115728
47,0.1,2,121224
47,0.1,3,71568
47,0.1,4,136984
47,0.1,5,100208
48,0.1,1,159392
48,0.1,2,106112
48,0.1,3,106904
48,0.1,4,71088
48,0.1,5,86112
49,0.1,1,126664
49,0.1,2,112856
49,0.1,3,104248
49,0.1,4,95000
49,0.1,5,89424
50,0.1,1,80928
50,0.1,2,79952
50,0.1,3,102248
50,0.1,4,133256
50,0.1,5,97728
51,0.1,1,143760
51,0.1,2,101664
51,0.1,3,95464
51,0.1,4,100480
51,0.1,5,77832
52,0.1,1,101456
52,0.1,2,141416
52,0.1,3,78264
52,0.1,4,124968
52,0.1,5,134024
53,0.1,1,149416
53,0.1,2,145680
53,0.1,3,142336
53,0.1,4,104632
53,0.1,5,92296
54,0.1,1,91808
54,0.1,2,96400
54,0.1,3,112856
54,0.1,4,157896
54,0.1,5,167288
55,0.1,1,106720
55,0.1,2,132336
55,0.1,3,148176
55,0.1,4,84232
55,0.1,5,101768
56,0.1,1,99384
56,0.1,2,118832
56,0.1,3,115768
56,0.1,4,131824
56,0.1,5,85696
57,0.1,1,168864
57,0.1,2,108128
57,0.1,3,113184
57,0.1,4,99368
57,0.1,5,105248
58,0.1,1,162952
58,0.1,2,169408
58,0.1,3,143792
58,0.1,4,111096
58,0.1,5,135272
59,0.1,1,105856
59,0.1,2,147088
59,0.1,3,117240
59,0.1,4,163128
59,0.1,5,127600
60,0.1,1,100776
60,0.1,2,163472
60,0.1,3,145488
60,0.1,4,147272
60,0.1,5,103784
61,0.1,1,135616
61,0.1,2,138880
61,0.1,3,138936
61,0.1,4,99320
61,0.1,5,111056
62,0.1,1,147984
62,0.1,2,116992
62,0.1,3,100416
62,0.1,4,133232
62,0.1,5,150752
63,0.1,1,185752
63,0.1,2,107160
63,0.1,3,141184
63,0.1,4,183000
63,0.1,5,194528
64,0.1,1,108144
64,0.1,2,172376
64,0.1,3,175968
64,0.1,4,166904
64,0.1,5,218288
65,0.1,1,151432
65,0.1,2,155616
65,0.1,3,151024
65,0.1,4,140120
65,0.1,5,146048
66,0.1,1,117568
66,0.1,2,169656
66,0.1,3,197800
66,0.1,4,172240
66,0.1,5,138048
67,0.1,1,189768
67,0.1,2,139792
67,0.1,3,135048
67,0.1,4,233136
67,0.1,5,164112
68,0.1,1,170272
68,0.1,2,155360
68,0.1,3,181800
68,0.1,4,142392
68,0.1,5,170672
69,0.1,1,259592
69,0.1,2,116968
69,0.1,3,237104
69,0.1,4,182432
69,0.1,5,157896
70,0.1,1,155992
70,0.1,2,193648
70,0.1,3,121152
70,0.1,4,164912
70,0.1,5,136616
71,0.1,1,150840
71,0.1,2,177984
71,0.1,3,174640
71,0.1,4,164536
71,0.1,5,120136
72,0.1,1,142272
72,0.1,2,178912
72,0.1,3,164328
72,0.1,4,174176
72,0.1,5,174384
73,0.1,1,185248
73,0.1,2,131032
73,0.1,3,148984
73,0.1,4,251312
73,0.1,5,184384
74,0.1,1,222928
74,0.1,2,224912
74,0.1,3,214704
74,0.1,4,180008
74,0.1,5,209096
75,0.1,1,218600
75,0.1,2,182184
75,0.1,3,210720
75,0.1,4,155880
75,0.1,5,191024
76,0.1,1,183648
76,0.1,2,217664
76,0.1,3,176616
76,0.1,4,188776
76,0.1,5,194264
77,0.1,1,192944
77,0.1,2,232792
77,0.1,3,201904
77,0.1,4,223496
77,0.1,5,217024
78,0.1,1,202776
78,0.1,2,165000
78,0.1,3,214928
78,0.1,4,281400
78,0.1,5,208200
79,0.1,1,256192
79,0.1,2,147048
79,0.1,3,180792
79,0.1,4,227656
79,0.1,5,149632
80,0.1,1,186632
80,0.1,2,210248
80,0.1,3,133640
80,0.1,4,215016
80,0.1,5,182120
81,0.1,1,207816
81,0.1,2,280128
81,0.1,3,173520
81,0.1,4,191640
81,0.1,5,169744
82,0.1,1,222512
82,0.1,2,199264
82,0.1,3,201312
82,0.1,4,195512
82,0.1,5,217464
83,0.1,1,189416
83,0.1,2,148016
83,0.1,3,221960
83,0.1,4,214792
83,0.1,5,216848
84,0.1,1,156232
84,0.1,2,181664
84,0.1,3,210808
84,0.1,4,251864
84,0.1,5,187040
85,0.1,1,208632
85,0.1,2,169904
85,0.1,3,224416
85,0.1,4,209200
85,0.1,5,250520
86,0.1,1,212568
86,0.1,2,282608
86,0.1,3,253424
86,0.1,4,156656
86,0.1,5,197320
87,0.1,1,181824
87,0.1,2,186672
87,0.1,3,268880
87,0.1,4,212384
87,0.1,5,296376
88,0.1,1,256672
88,0.1,2,236704
88,0.1,3,253424
88,0.1,4,360352
88,0.1,5,201680
89,0.1,1,248216
89,0.1,2,262264
89,0.1,3,300512
89,0.1,4,220232
89,0.1,5,248864
90,0.1,1,171056
90,0.1,2,247344
90,0.1,3,296752
90,0.1,4,254168
90,0.1,5,201880
91,0.1,1,258696
91,0.1,2,268360
91,0.1,3,250088
91,0.1,4,251480
91,0.1,5,327672
92,0.1,1,280152
92,0.1,2,293280
92,0.1,3,281616
92,0.1,4,279176
92,0.1,5,200040
93,0.1,1,218592
93,0.1,2,215408
93,0.1,3,200016
93,0.1,4,301912
93,0.1,5,208232
94,0.1,1,199920
94,0.1,2,308632
94,0.1,3,251760
94,0.1,4,294888
94,0.1,5,248792
95,0.1,1,288720
95,0.1,2,222000
95,0.1,3,309112
95,0.1,4,301192
95,0.1,5,196744
96,0.1,1,226520
96,0.1,2,233376
96,0.1,3,256912
96,0.1,4,258256
96,0.1,5,260816
97,0.1,1,358520
97,0.1,2,204344
97,0.1,3,318552
97,0.1,4,357904
97,0.1,5,269504
98,0.1,1,355144
98,0.1,2,312504
98,0.1,3,258936
98,0.1,4,355248
98,0.1,5,338032
99,0.1,1,299712
99,0.1,2,344072
99,0.1,3,329904
99,0.1,4,292560
99,0.1,5,201056
100,0.1,1,309664
100,0.1,2,315456
100,0.1,3,283480
100,0.1,4,327632
100,0.1,5,336072
1,0.2,1,4056
1,0.2,2,4008
1,0.2,3,4040
1,0.2,4,3992
1,0.2,5,4056
2,0.2,1,4464
2,0.2,2,8032
2,0.2,3,4688
2,0.2,4,8336
2,0.2,5,4480
3,0.2,1,4784
3,0.2,2,5176
3,0.2,3,11464
3,0.2,4,13576
3,0.2,5,4840
4,0.2,1,5744
4,0.2,2,14304
4,0.2,3,10048
4,0.2,4,5480
4,0.2,5,8136
5,0.2,1,12120
5,0.2,2,7560
5,0.2,3,7600
5,0.2,4,10304
5,0.2,5,12984
6,0.2,1,6816
6,0.2,2,6976
6,0.2,3,6592
6,0.2,4,10384
6,0.2,5,14168
7,0.2,1,7336
7,0.2,2,12184
7,0.2,3,7032
7,0.2,4,16448
7,0.2,5,13832
8,0.2,1,8328
8,0.2,2,15408
8,0.2,3,15456
8,0.2,4,9888
8,0.2,5,13744
9,0.2,1,11720
9,0.2,2,21704
9,0.2,3,8856
9,0.2,4,20568
9,0.2,5,22096
10,0.2,1,9200
10,0.2,2,23208
10,0.2,3,14512
10,0.2,4,16832
10,0.2,5,13496
11,0.2,1,23584
11,0.2,2,31216
11,0.2,3,15968
11,0.2,4,14808
11,0.2,5,20568
12,0.2,1,24336
12,0.2,2,30752
12,0.2,3,13000
12,0.2,4,16440
12,0.2,5,23720
13,0.2,1,26856
13,0.2,2,13760
13,0.2,3,23848
13,0.2,4,28728
13,0.2,5,29824
14,0.2,1,24328
14,0.2,2,21128
14,0.2,3,15152
14,0.2,4,12456
14,0.2,5,17216
15,0.2,1,27288
15,0.2,2,21568
15,0.2,3,30008
15,0.2,4,23544
15,0.2,5,15440
16,0.2,1,16208
16,0.2,2,23144
16,0.2,3,18480
16,0.2,4,21296
16,0.2,5,25544
17,0.2,1,22016
17,0.2,2,28624
17,0.2,3,19560
17,0.2,4,27064
17,0.2,5,30984
18,0.2,1,35848
18,0.2,2,27856
18,0.2,3,37224
18,0.2,4,35112
18,0.2,5,26688
19,0.2,1,36400
19,0.2,2,47408
19,0.2,3,15088
19,0.2,4,22600
19,0.2,5,49592
20,0.2,1,31376
20,0.2,2,35920
20,0.2,3,43320
20,0.2,4,35464
20,0.2,5,48264
21,0.2,1,61880
21,0.2,2,32320
21,0.2,3,39024
21,0.2,4,33416
21,0.2,5,20968
22,0.2,1,36040
22,0.2,2,31048
22,0.2,3,18336
22,0.2,4,23656
22,0.2,5,48320
23,0.2,1,51968
23,0.2,2,50304
23,0.2,3,36904
23,0.2,4,37840
23,0.2,5,28000
24,0.2,1,48272
24,0.2,2,37392
24,0.2,3,29208
24,0.2,4,29992
24,0.2,5,37504
25,0.2,1,59648
25,0.2,2,34840
25,0.2,3,51872
25,0.2,4,65376
25,0.2,5,44200
26,0.2,1,91952
26,0.2,2,36888
26,0.2,3,50432
26,0.2,4,49304
26,0.2,5,28232
27,0.2,1,37872
27,0.2,2,43880
27,0.2,3,70080
27,0.2,4,62696
27,0.2,5,32608
28,0.2,1,65424
28,0.2,2,57808
28,0.2,3,37928
28,0.2,4,49864
28,0.2,5,21448
29,0.2,1,43992
29,0.2,2,51160
29,0.2,3,60480
29,0.2,4,41384
29,0.2,5,65792
30,0.2,1,51568
30,0.2,2,51064
30,0.2,3,42432
30,0.2,4,41928
30,0.2,5,34248
31,0.2,1,50904
31,0.2,2,74840
31,0.2,3,55464
31,0.2,4,44664
31,0.2,5,71784
32,0.2,1,56256
32,0.2,2,76808
32,0.2,3,85288
32,0.2,4,42984
32,0.2,5,43496
33,0.2,1,65288
33,0.2,2,43072
33,0.2,3,62128
33,0.2,4,48352
33,0.2,5,82376
34,0.2,1,96048
34,0.2,2,62736
34,0.2,3,70536
34,0.2,4,62992
34,0.2,5,47896
35,0.2,1,42808
35,0.2,2,55552
35,0.2,3,62640
35,0.2,4,99296
35,0.2,5,45392
36,0.2,1,57816
36,0.2,2,69056
36,0.2,3,95200
36,0.2,4,72928
36,0.2,5,72256
37,0.2,1,68096
37,0.2,2,48432
37,0.2,3,47848
37,0.2,4,59208
37,0.2,5,68640
38,0.2,1,76728
38,0.2,2,72176
38,0.2,3,72456
38,0.2,4,87208
38,0.2,5,94136
39,0.2,1,98168
39,0.2,2,93680
39,0.2,3,79760
39,0.2,4,75840
39,0.2,5,66520
40,0.2,1,61240
40,0.2,2,63224
40,0.2,3,49840
40,0.2,4,52632
40,0.2,5,101904
41,0.2,1,91552
41,0.2,2,84248
41,0.2,3,99360
41,0.2,4,69176
41,0.2,5,77368
42,0.2,1,117528
42,0.2,2,43256
42,0.2,3,89664
42,0.2,4,84744
42,0.2,5,74944
43,0.2,1,78416
43,0.2,2,87840
43,0.2,3,72392
43,0.2,4,74688
43,0.2,5,58992
44,0.2,1,82352
44,0.2,2,108768
44,0.2,3,95240
44,0.2,4,101984
44,0.2,5,87104
45,0.2,1,63272
45,0.2,2,108640
45,0.2,3,65184
45,0.2,4,85944
45,0.2,5,74912
46,0.2,1,91368
46,0.2,2,81344
46,0.2,3,50464
46,0.2,4,61448
46,0.2,5,71152
47,0.2,1,130288
47,0.2,2,71152
47,0.2,3,93880
47,0.2,4,67496
47,0.2,5,122056
48,0.2,1,70640
48,0.2,2,96112
48,0.2,3,116032
48,0.2,4,105936
48,0.2,5,80576
49,0.2,1,91240
49,0.2,2,90184
49,0.2,3,106504
49,0.2,4,124520
49,0.2,5,90592
50,0.2,1,89952
50,0.2,2,74704
50,0.2,3,82088
50,0.2,4,101104
50,0.2,5,153088
51,0.2,1,91456
51,0.2,2,109832
51,0.2,3,118656
51,0.2,4,146696
51,0.2,5,81848
52,0.2,1,81864
52,0.2,2,95088
52,0.2,3,113232
52,0.2,4,96048
52,0.2,5,132744
53,0.2,1,114008
53,0.2,2,141208
53,0.2,3,127256
53,0.2,4,103424
53,0.2,5,94024
54,0.2,1,128544
54,0.2,2,109968
54,0.2,3,141008
54,0.2,4,94728
