N,P,X,Cmap,Parents,Children
22,0.1,4,26144,31744,32264
22,0.1,5,31160,25208,25728
23,0.1,1,24784,18144,18688
23,0.1,2,28648,26416,26944
23,0.1,3,30592,27808,28352
23,0.1,4,13272,8792,9320
23,0.1,5,21072,15272,15816
24,0.1,1,15328,9464,10032
24,0.1,2,36240,34408,34976
24,0.1,3,29952,26592,27160
24,0.1,4,26056,27696,28264
24,0.1,5,17808,14120,14672
25,0.1,1,23688,23016,23608
25,0.1,2,25112,25976,26552
25,0.1,3,19536,16824,17416
25,0.1,4,30056,22856,23448
25,0.1,5,29088,26552,27144
26,0.1,1,27048,25264,25880
26,0.1,2,19592,17808,18424
26,0.1,3,34432,30648,31264
26,0.1,4,34000,36048,36664
26,0.1,5,33600,33424,34040
27,0.1,1,34560,25448,26088
27,0.1,2,25200,23984,24624
27,0.1,3,24816,17624,18264
27,0.1,4,37952,25912,26552
27,0.1,5,31312,26568,27208
28,0.1,1,47672,42544,43208
28,0.1,2,23368,23912,24560
28,0.1,3,18016,14104,14752
28,0.1,4,24184,18848,19512
28,0.1,5,30888,25112,25776
29,0.1,1,45208,36312,37000
29,0.1,2,27600,24976,25664
29,0.1,3,39880,27984,28672
29,0.1,4,59464,42576,43264
29,0.1,5,23984,18120,18808
30,0.1,1,35296,29928,30624
30,0.1,2,36256,33216,33928
30,0.1,3,26192,22848,23544
30,0.1,4,32480,30080,30792
30,0.1,5,27864,22600,23312
31,0.1,1,46920,36304,37040
31,0.1,2,27064,26456,27192
31,0.1,3,23912,18216,18952
31,0.1,4,30648,20728,21464
31,0.1,5,32312,38808,39544
32,0.1,1,41344,33272,34032
32,0.1,2,55104,46792,47536
32,0.1,3,42752,30712,31456
32,0.1,4,40272,24648,25392
32,0.1,5,32232,29816,30576
33,0.1,1,35416,32936,33720
33,0.1,2,44592,37928,38712
33,0.1,3,40552,31320,32104
33,0.1,4,38056,26272,27056
33,0.1,5,35992,32456,33224
34,0.1,1,41904,38472,39280
34,0.1,2,54136,43384,44192
34,0.1,3,47744,36336,37144
34,0.1,4,65088,52208,53016
34,0.1,5,32832,30088,30896
35,0.1,1,60240,47560,48392
35,0.1,2,35688,22896,23728
35,0.1,3,41264,42672,43504
35,0.1,4,27240,25192,26024
