N,P,X,Cmap,Parents,Children
29,0.1,1,11424,19240,19928
29,0.1,2,9408,17800,18488
29,0.1,3,14704,19432,20120
29,0.1,4,9744,17664,18352
29,0.1,5,9864,20376,21064
30,0.1,1,9248,18368,19080
30,0.1,2,10584,20296,21008
30,0.1,3,7792,15760,16472
30,0.1,4,12496,19504,20216
30,0.1,5,10248,21256,21968
31,0.1,1,11976,19376,20112
31,0.1,2,9352,17672,18408
31,0.1,3,12416,20000,20736
31,0.1,4,9376,19880,20616
31,0.1,5,8680,16552,17288
32,0.1,1,17192,27072,27832
32,0.1,2,12080,22944,23704
32,0.1,3,17856,25920,26680
32,0.1,4,12640,20984,21744
32,0.1,5,10784,24056,24816
33,0.1,1,12384,21528,22312
33,0.1,2,9528,17176,17960
33,0.1,3,15440,23176,23960
33,0.1,4,13016,22384,23168
33,0.1,5,11120,19040,19824
34,0.1,1,20728,27976,28784
34,0.1,2,17408,29712,30520
34,0.1,3,18392,26208,27016
34,0.1,4,10912,19416,20224
34,0.1,5,14984,23400,24208
35,0.1,1,20368,29776,30608
35,0.1,2,11152,20952,21784
35,0.1,3,18096,28728,29560
35,0.1,4,14424,29544,30376
35,0.1,5,12640,23008,23840
36,0.1,1,17448,29456,30312
36,0.1,2,16416,30808,31664
36,0.1,3,14824,23960,24816
36,0.1,4,18592,27960,28816
36,0.1,5,9608,23592,24448
37,0.1,1,16376,29320,30200
37,0.1,2,13712,22000,22880
37,0.1,3,12368,24296,25176
37,0.1,4,17664,31704,32584
37,0.1,5,12576,19296,20176
38,0.1,1,14296,23280,24184
38,0.1,2,12240,25616,26520
38,0.1,3,13840,28200,29104
38,0.1,4,19592,27696,28600
38,0.1,5,19840,30848,31752
39,0.1,1,9928,28120,29048
39,0.1,2,17800,28424,29352
39,0.1,3,16248,24392,25320
39,0.1,4,15680,25720,26648
39,0.1,5,10304,25744,26672
40,0.1,1,18920,29344,30296
40,0.1,2,18248,32144,33096
40,0.1,3,15816,29944,30896
40,0.1,4,14248,25832,26784
40,0.1,5,21968,34640,35592
41,0.1,1,17008,26608,27584
41,0.1,2,17984,27944,28920
41,0.1,3,11704,26096,27072
41,0.1,4,22040,38200,39176
41,0.1,5,15152,26824,27800
42,0.1,1,11592,21984,22984
42,0.1,2,15088,29872,30872
42,0.1,3,16584,30392,31392
42,0.1,4,20784,27272,28272
42,0.1,5,14712,26872,27872
43,0.1,1,17184,31760,32784
43,0.1,2,15504,28744,29768
43,0.1,3,11152,29000,30024
43,0.1,4,11560,24648,25672
43,0.1,5,14280,28416,29440
44,0.1,1,17312,30976,32024
44,0.1,2,19328,32232,33280
44,0.1,3,21800,37064,38112
44,0.1,4,14048,25952,27000
44,0.1,5,24504,36088,37136
45,0.1,1,15656,23800,24872
45,0.1,2,26424,37560,38632
45,0.1,3,15672,30720,31792
45,0.1,4,13656,31328,32400
45,0.1,5,15080,27232,28304
46,0.1,1,16960,30472,31568
46,0.1,2,16752,30776,31872
46,0.1,3,12896,27680,28776
46,0.1,4,21152,35368,36464
46,0.1,5,18744,34312,35408
47,0.1,1,23912,40544,41664
47,0.1,2,17808,39032,40152
47,0.1,3,19304,34144,35264
47,0.1,4,20768,35064,36184
47,0.1,5,20776,32040,33160
48,0.1,1,15784,31864,33008
48,0.1,2,16968,29992,31136
48,0.1,3,23016,35872,37016
48,0.1,4,12048,29464,30608
48,0.1,5,16760,30816,31960
49,0.1,1,13384,28840,30008
49,0.1,2,15384,34032,35200
49,0.1,3,15952,30648,31816
49,0.1,4,20080,32824,33992
49,0.1,5,24480,37680,38848
50,0.1,1,17248,34864,36056
50,0.1,2,18808,35104,36296
50,0.1,3,22296,42152,43344
50,0.1,4,16616,32744,33936
50,0.1,5,23768,34616,35808
51,0.1,1,25584,34752,35968
51,0.1,2,17760,30000,31216
51,0.1,3,23192,35104,36320
51,0.1,4,16064,35520,36736
51,0.1,5,17392,42000,43216
52,0.1,1,17112,29976,31216
52,0.1,2,19328,35624,36864
52,0.1,3,22072,38008,39248
52,0.1,4,20656,36312,37552
52,0.1,5,24384,39640,40880
53,0.1,1,25808,43464,44728
53,0.1,2,20008,36456,37720
53,0.1,3,15792,36464,37728
53,0.1,4,20752,36472,37736
53,0.1,5,17576,36800,38064
54,0.1,1,31048,46120,47408
54,0.1,2,20400,31776,33064
54,0.1,3,17464,38688,39976
54,0.1,4,22736,44864,46152
54,0.1,5,25456,41184,42472
55,0.1,1,16672,31952,33264
55,0.1,2,24392,46056,47368
55,0.1,3,31288,43896,45208
55,0.1,4,22008,36584,37896
55,0.1,5,21208,37240,38552
56,0.1,1,18600,33656,34992
56,0.1,2,25448,42216,43552
56,0.1,3,34392,45992,47328
56,0.1,4,17848,35464,36800
56,0.1,5,16872,36288,37624
57,0.1,1,16752,36224,37584
57,0.1,2,20200,40752,42112
57,0.1,3,20344,36760,38120
57,0.1,4,24848,43408,44768
57,0.1,5,18008,42296,43656
58,0.1,1,18728,35328,36712
58,0.1,2,16808,33080,34464
58,0.1,3,26256,47440,48824
58,0.1,4,26792,42608,43992
58,0.1,5,23120,34096,35480
59,0.1,1,23248,46040,47448
59,0.1,2,20544,36192,37600
59,0.1,3,23520,42496,43904
59,0.1,4,20568,37328,38736
59,0.1,5,19400,34232,35640
60,0.1,1,12472,35288,36720
60,0.1,2,21728,38960,40392
60,0.1,3,29104,47216,48648
60,0.1,4,18504,38600,40032
60,0.1,5,25008,47312,48744
61,0.1,1,24088,37984,39440
61,0.1,2,20480,38304,39760
61,0.1,3,22688,38008,39464
61,0.1,4,17592,37440,38896
61,0.1,5,20776,41408,42864
62,0.1,1,25824,46464,47944
62,0.1,2,26792,49048,50528
62,0.1,3,33224,47792,49272
62,0.1,4,29144,44720,46200
62,0.1,5,26536,43512,44992
63,0.1,1,24752,40400,41904
63,0.1,2,24080,41152,42656
63,0.1,3,21168,51048,52552
63,0.1,4,21680,46736,48240
63,0.1,5,23168,42816,44320
64,0.1,1,29496,50896,52424
64,0.1,2,24304,43608,45136
64,0.1,3,23352,39632,41160
64,0.1,4,25064,41960,43488
64,0.1,5,25904,42680,44208
