N,P,X,Filesize,Cachesize
19,0.1,1,12288,26840
19,0.1,2,12288,14784
19,0.1,3,12288,16856
19,0.1,4,12288,22160
19,0.1,5,12288,12000
20,0.1,1,12288,23336
20,0.1,2,12288,24672
20,0.1,3,12288,12120
20,0.1,4,12288,20160
20,0.1,5,12288,20648
21,0.1,1,12288,13032
21,0.1,2,12288,18432
21,0.1,3,12288,21192
21,0.1,4,12288,17208
21,0.1,5,12288,13664
22,0.1,1,12288,11904
22,0.1,2,20480,17568
22,0.1,3,12288,15040
22,0.1,4,12288,22656
22,0.1,5,12288,13440
23,0.1,1,12288,10840
23,0.1,2,12288,13712
23,0.1,3,12288,16160
23,0.1,4,12288,13720
23,0.1,5,12288,28752
24,0.1,1,12288,20920
24,0.1,2,12288,19504
24,0.1,3,20480,19032
24,0.1,4,12288,10200
24,0.1,5,12288,13864
25,0.1,1,12288,14712
25,0.1,2,20480,26232
25,0.1,3,20480,18152
25,0.1,4,12288,17824
25,0.1,5,12288,23640
26,0.1,1,20480,16648
26,0.1,2,20480,15984
26,0.1,3,20480,14152
26,0.1,4,12288,16760
26,0.1,5,12288,29088
27,0.1,1,12288,15856
27,0.1,2,20480,13928
27,0.1,3,20480,14880
27,0.1,4,20480,18024
27,0.1,5,20480,32152
28,0.1,1,20480,22384
28,0.1,2,12288,18816
28,0.1,3,20480,15536
28,0.1,4,12288,19256
28,0.1,5,12288,16616
29,0.1,1,12288,30696
29,0.1,2,12288,11856
29,0.1,3,20480,17696
29,0.1,4,12288,11672
29,0.1,5,20480,15816
30,0.1,1,12288,14328
30,0.1,2,12288,15416
30,0.1,3,12288,10464
30,0.1,4,20480,26272
30,0.1,5,12288,22968
31,0.1,1,20480,21688
31,0.1,2,12288,31256
31,0.1,3,20480,16024
31,0.1,4,12288,14168
31,0.1,5,12288,11920
32,0.1,1,20480,18824
32,0.1,2,20480,17616
32,0.1,3,20480,21496
32,0.1,4,20480,24896
32,0.1,5,20480,17216
33,0.1,1,20480,31128
33,0.1,2,20480,11864
33,0.1,3,20480,22168
33,0.1,4,20480,17024
33,0.1,5,20480,13192
34,0.1,1,20480,23064
34,0.1,2,20480,19536
34,0.1,3,20480,28272
34,0.1,4,20480,19248
34,0.1,5,20480,24240
35,0.1,1,20480,20552
35,0.1,2,20480,19256
35,0.1,3,20480,21872
35,0.1,4,20480,29712
35,0.1,5,20480,14800
36,0.1,1,20480,75256
36,0.1,2,20480,18824
36,0.1,3,20480,23312
36,0.1,4,20480,30360
36,0.1,5,20480,22120
37,0.1,1,20480,21192
37,0.1,2,20480,14312
37,0.1,3,20480,13904
37,0.1,4,20480,20744
37,0.1,5,20480,15624
38,0.1,1,20480,21728
38,0.1,2,20480,13528
38,0.1,3,20480,17080
38,0.1,4,24576,19728
38,0.1,5,20480,20856
39,0.1,1,20480,17400
39,0.1,2,20480,19752
39,0.1,3,20480,17456
39,0.1,4,20480,18680
39,0.1,5,20480,28088
40,0.1,1,20480,50808
40,0.1,2,20480,19088
