N,P,X,History
16,0.2,1,17208
16,0.2,2,14512
16,0.2,3,19240
16,0.2,4,15232
16,0.2,5,14272
17,0.2,1,20448
17,0.2,2,14480
17,0.2,3,13960
17,0.2,4,15944
17,0.2,5,12712
18,0.2,1,24056
18,0.2,2,14280
18,0.2,3,26736
18,0.2,4,24712
18,0.2,5,16016
19,0.2,1,19144
19,0.2,2,15528
19,0.2,3,22888
19,0.2,4,14952
19,0.2,5,13928
20,0.2,1,20496
20,0.2,2,13288
20,0.2,3,11456
20,0.2,4,21712
20,0.2,5,17048
21,0.2,1,19984
21,0.2,2,22248
21,0.2,3,19896
21,0.2,4,17840
21,0.2,5,22152
22,0.2,1,15088
22,0.2,2,29336
22,0.2,3,17816
22,0.2,4,21112
22,0.2,5,18656
23,0.2,1,20096
23,0.2,2,19152
23,0.2,3,14680
23,0.2,4,21272
23,0.2,5,24352
24,0.2,1,30320
24,0.2,2,21504
24,0.2,3,19240
24,0.2,4,26224
24,0.2,5,20416
25,0.2,1,21432
25,0.2,2,19400
25,0.2,3,24400
25,0.2,4,19304
25,0.2,5,22024
26,0.2,1,27576
26,0.2,2,28680
26,0.2,3,22928
26,0.2,4,25464
26,0.2,5,24592
27,0.2,1,25504
27,0.2,2,21872
27,0.2,3,29912
27,0.2,4,21392
27,0.2,5,18312
28,0.2,1,25104
28,0.2,2,22040
28,0.2,3,31200
28,0.2,4,24536
28,0.2,5,25696
29,0.2,1,31840
29,0.2,2,24504
29,0.2,3,34208
29,0.2,4,31600
29,0.2,5,25208
30,0.2,1,29168
30,0.2,2,29656
30,0.2,3,20264
30,0.2,4,32712
30,0.2,5,29392
31,0.2,1,30752
31,0.2,2,26000
31,0.2,3,19880
31,0.2,4,34024
31,0.2,5,25888
32,0.2,1,38648
32,0.2,2,28512
32,0.2,3,24808
32,0.2,4,27760
32,0.2,5,27408
33,0.2,1,29064
33,0.2,2,29096
33,0.2,3,31192
33,0.2,4,24552
33,0.2,5,29808
34,0.2,1,37224
34,0.2,2,39768
34,0.2,3,31992
34,0.2,4,30144
34,0.2,5,30216
35,0.2,1,41280
35,0.2,2,37888
35,0.2,3,31736
