N,P,X,Filesize
83,0.1,2,32768
83,0.1,3,28672
83,0.1,4,32768
83,0.1,5,28672
84,0.1,1,32768
84,0.1,2,32768
84,0.1,3,32768
84,0.1,4,36864
84,0.1,5,36864
85,0.1,1,28672
85,0.1,2,32768
85,0.1,3,32768
85,0.1,4,28672
85,0.1,5,28672
86,0.1,1,32768
86,0.1,2,32768
86,0.1,3,32768
86,0.1,4,32768
86,0.1,5,36864
87,0.1,1,32768
87,0.1,2,32768
87,0.1,3,32768
87,0.1,4,32768
87,0.1,5,32768
88,0.1,1,32768
88,0.1,2,32768
88,0.1,3,32768
88,0.1,4,32768
88,0.1,5,32768
89,0.1,1,32768
89,0.1,2,36864
89,0.1,3,32768
89,0.1,4,36864
89,0.1,5,32768
90,0.1,1,32768
90,0.1,2,32768
90,0.1,3,36864
90,0.1,4,32768
90,0.1,5,32768
91,0.1,1,36864
91,0.1,2,36864
91,0.1,3,32768
91,0.1,4,32768
91,0.1,5,36864
92,0.1,1,32768
92,0.1,2,32768
92,0.1,3,32768
92,0.1,4,32768
92,0.1,5,32768
93,0.1,1,32768
93,0.1,2,36864
93,0.1,3,32768
93,0.1,4,32768
93,0.1,5,32768
94,0.1,1,36864
94,0.1,2,32768
94,0.1,3,32768
94,0.1,4,32768
94,0.1,5,36864
95,0.1,1,32768
95,0.1,2,40960
95,0.1,3,32768
95,0.1,4,36864
95,0.1,5,32768
96,0.1,1,32768
96,0.1,2,36864
96,0.1,3,32768
96,0.1,4,28672
96,0.1,5,40960
97,0.1,1,32768
97,0.1,2,36864
97,0.1,3,36864
97,0.1,4,32768
97,0.1,5,32768
98,0.1,1,32768
98,0.1,2,36864
98,0.1,3,36864
98,0.1,4,36864
98,0.1,5,32768
99,0.1,1,32768
99,0.1,2,40960
99,0.1,3,32768
99,0.1,4,36864
99,0.1,5,32768
100,0.1,1,36864
100,0.1,2,32768
100,0.1,3,32768
100,0.1,4,32768
100,0.1,5,36864
1,0.2,1,12288
1,0.2,2,12288
1,0.2,3,12288
1,0.2,4,12288
1,0.2,5,12288
2,0.2,1,12288
